References,Qty,Description,Manufacturer,MPN,Digikey,Mouser,RS,Newark,Farnell
"LED1, LED2, LED3",3,SMD LED GREEN 0603,Broadcom,HSMG-C190,516-1425-1-ND,630HSMGC190,450985,,2497374
"12V, OUT1, OUT2, RX1, RX2, RX3",6,PIN HEADER VERT 2 POS,,M20-9990246,952-2262-ND,855M209990246,7457065,,1022247
"C2, C3, C6, C7, C9, C10, C12, C13, C14, C16, C17, C18",12,100nF 0805 X7R,AVX,08053C104KAT2A,311-1140-6-ND,603CC805KRX7R9BB104,6197992,,3019949
C19,1,10uF 35V Tantalum 7343,Vishay,293D106X0035D2TE3,718-1046-6-ND,74293D106X0035D2TE3,1360314,,2777998
"R7, R10, R14",3,1K 0805,Yageo,RC0805JR-071KL,311-1.00KCRCT-ND,603RC0805FR071KL,7409063,,2303550
"C1, C5, C11",3,1nF 0603 X7R,Yageo,CC0603KRX7R9BB102,399-1082-6-ND,603CC603KRX7R9BB102,2644551,,1414608
C20,1,33uF tantalum 7343,Vishay,293D336X9010D2TE3,478-4111-1-ND,74293D336X9016D2TE3,6844089,,1754190
"R8, R11, R15",3,4.7K 0805,Vishay,CRCW08054K70FKEA,P16893CT-ND,667ERJP6WF4701V,7217801,,2253928
C21,1,4.7uf  tantalum 3528,Vishay,293D475X9010B2TE3,718-1147-6-ND,74293D475X9025B2TE3,6844130,,1754215
"R4, R5, R6, R16",4,120 0603,KOA Speer,SG73P1JTTD1200F,311-120HRDKR-ND,603RC0603FR07120RL,566406,,2134805
"C22, C23",2,"470uF SMD,6.3x7.7mm Aluminum Electrolytic",Panasonic,EEEFTA471XAP,P15094TR-ND,667EEEFTA471XAP,,,2065963
"C4, C8, C15",3,47uF SMD TANTALUM 3216,AVX,F931A476KAA,478-9009-1-ND,581TLJA476M010R0600,1442515,,1658411
"R19, R20, R21, R22",4,499 1206,Panasonic,ERA8AEB4990V,P499BCDKR-ND,667ERA8AEB4990V,8280926,,2095153
"R1, R3, R12",3,680K 0805,TE Connectivity,CRGCQ0805F680K,A129783CT-ND,667ERJP06F6803V,1062967,,2861556
"R2, R9, R13, R17, R18",5,75 0805,TE Connectivity,CRG0805F75R,A126386CT-ND,603RC0805FR0775RL,8667480,,3496096
U6,1,5V Voltage Regulator,,LM1117IMP-5.0-NOPB,LM1117IMP-5.0/NOPBDKR-ND,926LM1117IMP5.0NOPB,5358641,,3122018
"U1, U2, U3",3,Video Sync Separator 8-SOIC 0 to 70,,LM1881M/NOPB,LM1881M/NOPB-ND,926LM1881M/NOPB,5361237,,3006923
U5,1,LT6206CMS8PBF,,LT6206CMS8PBF,LT6206CMS8#PBF-ND,584LT6206CMS8#PBF,,,
U4,1,Video Switch IC 4 Channel 20-SSOP,,MAX4545CAP+,MAX4545CAP+-ND,700MAX4545CAP,1897119,,2518608
U$1,1,WEMOS D1 mini: Mini Wi-Fi Board based on ESP-8266 device,,WEMOS-D1-MINI,,,,,
PWR,1,SMD LED RED 0603,Everlight,19-217/R6C-AL1M2VY/3T,516-1420-1-ND,630HSMHC190,7166570P,,1610883
D1,1,Schottky Barrier Diodes SMA(DO-214AC),Vishay,SS14-E3/5AT,SS14-E3/5ATGICT-ND,625SS14E3/5AT,5431588,,2780103
